nomorPBS,subsistem,namaAset
3.2.2,Sistem Udara Bertekanan Pabrik,Tangki Kompresor
3.3.1,Mesin Perkakas,Mesin Skrap
3.3.2,Mesin Perkakas,Mesin Milling
3.3.3,Mesin Perkakas,Mesin Roll
3.3.4,Mesin Perkakas,Mesin Press
3.3.5,Mesin Perkakas,Mesin Las
3.3.6,Mesin Perkakas,Mesin Potong
3.3.7,Mesin Perkakas,Mesin Bubut
3.4.1,Sistem Bahan Bakar,Pompa BBM
3.4.2,Sistem Bahan Bakar,Filter
3.4.3,Sistem Bahan Bakar,Tangki BBM
3.5.1,Peralatan Pemindah Material,Forklift
3.5.2,Peralatan Pemindah Material,Conveyor
3.6.1,Struktur Sipil,Platform kerja
3.6.2,Struktur Sipil,Railing
3.6.3,Struktur Sipil,Tangga
3.6.4,Struktur Sipil,Atap
3.6.5,Struktur Sipil,Dinding
3.7.1,Sistem Proteksi Kebakaran,Pompa Hydrant / Fire Pump
3.8.1,Perkakas dan Alat Ukur Workshop,Lifting Tools / Peralatan Alat Berat Workshop
3.8.2,Perkakas dan Alat Ukur Workshop,Alat Ukur Maintenance / Peralatan Kelistrikan Workshop
4.1.1,"Sistem Penerimaan, Penyimpanan, dan Pelletizing",Dust Receiving Hopper
4.1.2,"Sistem Penerimaan, Penyimpanan, dan Pelletizing",Storage Bin
4.1.3,"Sistem Penerimaan, Penyimpanan, dan Pelletizing",Pelletizer
4.1.4,"Sistem Penerimaan, Penyimpanan, dan Pelletizing",Conveyor
4.2.1,Rotary Kiln,Rotary Kiln
4.2.2,Rotary Kiln,Burner – Rotary Kiln
4.3.1,Sistem Flame Oven,Tanur Flame Oven
4.3.2,Sistem Flame Oven,Prisma Pot
4.4.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur
4.4.2,Sistem Penanganan Gas Buang dan Debu,Seattle Atas Tanur
4.4.3,Sistem Penanganan Gas Buang dan Debu,Dust Collector
4.4.4,Sistem Penanganan Gas Buang dan Debu,Bag House
4.4.5,Sistem Penanganan Gas Buang dan Debu,Blower Hisap
4.4.6,Sistem Penanganan Gas Buang dan Debu,Stack / Cerobong
4.5.1,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical
5.1.1,Lab. Analisis,ICP-OES
5.1.2,Lab. Analisis,XRF
