recorded_nomorPBS,recorded_namaAset,records,pbsCanonical,subsistemCanonical,namaAsetCanonical,unitLabel,note
1.5.3,Busbar Electroda 3 Tanur B,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 3 Tanur B,
1.6.1,Consule Tanur A,1,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,Tanur A,
1.6.1,Consule Tanur B,1,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,Tanur B,
1.6.1,Panel Consule Control,15,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,,
1.7.1,Water Jacket,5,1.7.1,Sistem Pendinginan Air,Water Jacket,,
1.7.2,Water Box,6,1.7.2,Sistem Pendinginan Air,Water Box,,
1.7.2,Water Box Tanur A,4,1.7.2,Sistem Pendinginan Air,Water Box,Tanur A,
1.7.2,Water Box Tanur B,3,1.7.2,Sistem Pendinginan Air,Water Box,Tanur B,
1.7.3,Pompa Sirkulasi Tanur A,1,1.7.3,Sistem Pendinginan Air,Pompa sirkulasi,Tanur A,
1.7.3,Pompa sirkulasi,5,1.7.3,Sistem Pendinginan Air,Pompa sirkulasi,,
1.8.1,Pneumatic system,5,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,,
1.8.1,System Pneumatic Tanur A,4,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur A,
1.8.1,System Pneumatic Tanur B,4,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur B,
1.8.1,System Pneumatic Tanur C,1,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur C,
1.8.2,Blower Tiup,1,1.8.2,Sistem Udara Bertekanan dan Sirkulasi Udara,Blower Tiup,,
1.9.2,Tapping Launder / Spout,11,1.9.2,Sistem Tapping Logam dan Slag,Tapping Launder / Spout,,
1.10.1,Prisma Pot,1,1.10.1,Sistem Penanganan Logam dan Slag Cair,Prisma Pot,,
1.10.2,Slag Caster,1,1.10.2,Sistem Penanganan Logam dan Slag Cair,Slag Caster,,
2.1.1,KETEL / Kuali 1,3,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 1,
2.1.1,KETEL / Kuali 2,3,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 2,
2.1.1,KETEL / Kuali 20 ton 1,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 20 Ton 1,
2.1.1,KETEL / Kuali 20 ton 2,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 20 Ton 2,
2.1.1,KETEL / Kuali 20 ton 3,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 20 Ton 3,
2.1.1,KETEL / Kuali 50 ton 1,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 50 Ton 1,
2.1.1,KETEL / Kuali 50 ton 2,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 50 Ton 2,
2.1.1,KETEL / Kuali 50 ton 3,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 50 Ton 3,
2.1.1,KETEL / Kuali 50 ton 4,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 50 Ton 4,
2.1.1,KETEL / Kuali 50 ton 5,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,Kuali 50 Ton 5,
2.1.1,KETEL 1,3,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,1,
2.1.1,KETEL 2,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,2,
2.1.1,KETEL 4B 50ton,1,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,4b 50ton,
2.1.1,Ketel,11,2.1.1,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Ketel,,
2.1.3,Dudukan Mixer Pot Refining,1,2.1.3,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Dudukan Mixer Pot Refining,,
2.1.5,Pompa Timah,17,2.1.5,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Pompa Timah,,
2.1.5,Tin Pumpt,3,2.1.5,"Sistem Refining Pot, Pengadukan, dan Transfer Timah",Pompa Timah,Tin Pump,
2.1.6,"Mixer / Agitator Pot Refining (motor, shaft, dan impeller)",3,2.1.6,"Sistem Refining Pot, Pengadukan, dan Transfer Timah","Mixer / Agitator Pot Refining (motor, shaft, dan impeller)",,
2.2.1,Crystallizer 1,1,2.2.1,Sistem Crystallizer,Pot Crystallizer,1,
2.2.1,Crystallizer 2,1,2.2.1,Sistem Crystallizer,Pot Crystallizer,2,
2.2.1,POT 1,1,2.2.1,Sistem Crystallizer,Pot Crystallizer,1,
2.2.1,POT 2,1,2.2.1,Sistem Crystallizer,Pot Crystallizer,2,
2.2.1,Screw atau Blitz Crystallizer,10,2.2.1,Sistem Crystallizer,Pot Crystallizer,Screw Atau Blitz,
2.2.2,Motor Gearbox Crystallizer,9,2.2.2,Sistem Crystallizer,Motor Gearbox Crystallizer,,
2.2.3,Motor Gearbox Screw Crystallizer,4,2.2.3,Sistem Crystallizer,Motor Gearbox Screw Crystallizer,,
2.3.1,Cetakan Ingot,1,2.3.1,Sistem Casting dan Pembentukan Ingot,Wadah Cetak Ingot,Cetakan,
2.3.1,Wadah Cetak Ingot,6,2.3.1,Sistem Casting dan Pembentukan Ingot,Wadah Cetak Ingot,,
2.3.5,Talang Casting,3,2.3.5,Sistem Casting dan Pembentukan Ingot,Talang Casting,,
2.3.6,POT Casting,3,2.3.6,Sistem Casting dan Pembentukan Ingot,Pot Casting / Holding Kettle,,
2.3.6,POT Casting 50 Ton 1,1,2.3.6,Sistem Casting dan Pembentukan Ingot,Pot Casting / Holding Kettle,50 Ton 1,
2.3.6,POT Casting 50 Ton 2,1,2.3.6,Sistem Casting dan Pembentukan Ingot,Pot Casting / Holding Kettle,50 Ton 2,
2.3.6,Pot Casting / Holding Kettle,4,2.3.6,Sistem Casting dan Pembentukan Ingot,Pot Casting / Holding Kettle,,
2.4.1,Electrical Burner – Refining,3,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,,
2.4.1,Superheater KETEL 1,5,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 1,
2.4.1,Superheater KETEL 2,4,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 2,
2.4.1,Superheater KETEL 20 ton 1,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 20 Ton 1,
2.4.1,Superheater KETEL 20 ton 2,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 20 Ton 2,
2.4.1,Superheater KETEL 20 ton 3,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 20 Ton 3,
2.4.1,Superheater KETEL 50 ton 1,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 50 Ton 1,
2.4.1,Superheater KETEL 50 ton 2,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 50 Ton 2,
2.4.1,Superheater KETEL 50 ton 3,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 50 Ton 3,
2.4.1,Superheater KETEL 50 ton 4,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 50 Ton 4,
2.4.1,Superheater KETEL 50 ton 5,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 50 Ton 5,
2.4.1,Superheater Ketel 1,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 1,
2.4.1,Superheater Ketel 2,1,2.4.1,Sistem Pemanasan dan Burner,Electrical Burner – Refining,Superheater Ketel 2,
2.4.2,Electrical Burner – Crystallizer,6,2.4.2,Sistem Pemanasan dan Burner,Electrical Burner – Crystallizer,,
2.4.2,Superheater KETEL 1,1,2.4.2,Sistem Pemanasan dan Burner,Electrical Burner – Crystallizer,Superheater Ketel 1,
2.4.3,Burner – Flame Oven,3,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,,
2.4.3,Superheater,2,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater,
2.4.3,Superheater 1,2,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater 1,
